english,spanish,french,italian,german,japanese
Tigrex Coat X,Cota de Tigrex X,Taille Tig rex X,Fiancale Tigrex X,Tigrex-Waffenrock X,
Rathalos Tasset X,Muslera Rathalos X,Tassettes Rathalos X,Falda Rathalos X,Rathalos-Beinzeug X,
Rathalos Coat X,Cota de Rathalos X,Taille Rathalos X,Fiancale Rathalos X,Rathalos-WaffenrockX,
Diablo Coil X,Campana Diablo X,Boucle Diablo X,Campana Diablos X,Diablos-Lende X,
Diablo Coat X,Cota de Diablo X,Taille Diablo X,Fiancale Diablos X,Diablos-Waffenrock X,
Gravios Tasset X,Muslera Gravios X,Tassettes Gravios X,Falda Gravios X,Gravios-Beinzeug X,
Gravios Coat X,Cota de Gravios X,Taille Gravios X,Fiancale Gravios X,Gravios-Waffenrock X,
Kut-Ku Tasset Z,Muslera Kut-Ku Z,Tassettes Kut-Ku Z,Falda Kut-Ku Z,Kut-Ku-Beinzeug Z,
Kut-Ku Coat Z,Cota de Kut-Ku Z,Taille Kut-Ku Z,Fiancale Kut-Ku Z,Kut-Ku-Waffenrock Z,
Conga Tasset Z,Muslera Conga Z,Tassettes Conga Z,Falda Conga Z,Conga-Beinzeug Z,
Conga Coat Z,Cota de Conga Z,Taille Conga Z,Fiancale Conga Z,Conga-Waffenrock Z,
Gypceros Tasset Z,Muslera Gypceros Z,Tassettes Gypceros Z,Falda Gypceros Z,Gypceros-Beinzeug Z,
Gypceros Coat Z,Cota de Gypceros Z,Taille Gypceros Z,Fiancale Gypceros Z,Gypceros-WaffenrockZ,
Khezu Tasset Z,Muslera Khezu Z,Tassettes Khezu Z,Falda Khezu Z,Khezu-Beinzeug Z,
Khezu Coat Z,Cota de Khezu Z,Taille Khezu Z,Fiancale Khezu Z,Khezu-Waffenrock Z,
Hermitaur Tasset Z,Muslera Hermitaur Z,Tassettes Hermit Z,Falda Hermitaur Z,Hermitaur-Beinzeug Z,
Hermitaur Coat Z,Cota de Hermitaur Z,Taille Hermit Z,Fiancale Hermitaur Z,HermitaurWaffenrockZ,
Plesioth Tasset Z,Muslera Plesioth Z,Tassettes Plesioth Z,Falda Plesioth Z,Plesioth-Beinzeug X,
Plesioth Coat Z,Cota de Plesioth Z,Taille Plesioth Z,Fiancale Plesioth Z,Plesioth-WaffenrockX,
Blango Tasset Z,Muslera Blango Z,Tassettes Blango Z,Falda Blango Z,Blango-Beinzeug Z,
Blango Coat Z,Cota de Blango Z,Taille Blango Z,Fiancale Blango Z,Blango-Waffenrock Z,
Ceanataur Tasset Z,Muslera Ceanataur Z,Tasset. Ceanataur Z,Falda Ceanataur Z,Ceanataur-Beinzeug Z,
Ceanataur Coat Z,Cota de Ceanataur Z,Taille Ceanataur Z,Fiancale Ceanataur Z,CeanataurWaffenrockZ,
Diablo Coil Z,Campana de Diablo Z,Boucle Diablo Z,Campana Diablo Z,Diablos-Lende Z,
Diablo Coat Z,Cota de Diablo Z,Taille Diablo Z,Fiancale Diablo Z,Diablos-Waffenrock Z,
Gravios Tasset Z,Muslera Gravios Z,Tassettes Gravios Z,Falda Gravios Z,Gravios-Beinzeug Z,
Gravios Coat Z,Cota de Gravios Z,Taille Gravios Z,Fiancale Gravios Z,Gravios-Waffenrock Z,
Chakra Tasset,Muslera Chakra,Tassettes Chakra,Falda Chakra,Chakra-Beinzeug,
Golden Obi Shin,Obi Dorado Shin,Obi doré Shin,Obi Dorato Shin,Gold-Obi Shin,
PuppetMasterObiShin,Obi Titiritero Shin,Obi marion. Shin,Obi Burattinaio Shin,Drahtzieher-Obi Shin,
Black Belt Tasset X,Muslera Cint Negro X,Tass. ceint. noire X,Falda Cintura Nera X,SchwarzgurtBeinzeugX,
Black Belt Coat X,Cota de Cint Negro X,Tail. ceint. noire X,Fianc.Cintura Nera X,SchwarzgurtWffnrockX,
Obituary Anca X,Anca de Obituario X,Anca nécrologie X,Anca Necrologio X,Todes-Anca X,
Obituary Cocusa X,Cocusa Obituario X,Cocusa nécrologie X,Cocusa Necrologio X,Todes-Cocusa X,
Butterfly Anca X,Anca de Mariposa X,Anca papillon X,Anca Farfalla X,Schmetterling-Anca X,
Butterfly Cocusa X,Cocusa de Mariposa X,Cocusa papillon X,Cocusa Farfalla X,SchmetterlingCocusaX,
Mizuha Sash Shin,Fajín Mizuha Shin,Ceintur. Mizuha Shin,Fascia Mizuha Shin,Mizuha-Schärpe Shin,
ExtravagantCoatShin,Cota Extrav. Shin,Taille extrav. Shin,Fiancale Strav. Shin,ExtrvgntWffnrockShin,
Kushala Cocoon X,Capullo Kushala X,Cocon Kushala X,Bozzolo di Kushala X,Kushala-Kokon X,
Kushala Wind Wrap X,Cinta Vien. KushalaX,Pagne Vent Kushala X,Cinta Vento KushalaX,Kushala-Windumhang X,
Kirin Hoop X,Aro de Kirin X,Anneau Kirin X,Cerchio Kirin X,Kirin-Reifen X,
Kirin Shorts X,Calzoncillos Kirin X,Culotte Kirin X,Pantaloncini Kirin X,Kirin-Shorts X,
Empress Coil X,Campana Emper. X,Boucle Impératrice X,Camp. Imperatrice X,Kaiserin-Lende X,
Empress Coat X,Cota Emper. X,Taille Impératrice X,Fianc. Imperatrice X,Kaiserin-WaffenrockX,
Indra Wrap Shin,Cinta de Indra Shin,Pagne Indra Shin,Falda Indra Shin,Indra-Umhang Shin,
Steadfast Coat Shin,Cota Firme Shin,Taille inéb. Shin,Fiancale Solido Shin,StndfstrWffnrckShin,
Kaiser Tasset X,Muslera Kaiser X,Tassettes Kaiser X,Falda Kaiser X,Kaiser-Beinzeug X,
Kaiser Coat X,Cota de Kaiser X,Taille Kaiser X,Fiancale Kaiser X,Kaiser-Waffenrock X,
GuardianSprtCoilShin,CampEspír Guard Shin,Bcle esp. garde Shin,CampanaSpirGuardShin,WächterselnLendeShin,
Carnage Wrap Shin,Cinta Matanza Shin,Pagne carnage Shin,Mantello Strage Shin,Gemetzelumhang Shin,
Dragon Spine X,Espinazo de Dragón X,Dos-de-dragon X,Spina-di-Drago X,Drachenrückgrat X,
Dragon Scales X,Escamas de Dragón X,Écailles de dragon X,Squame-di-Drago X,Drachenschuppen X,
DarkUkanlosCincture,Cincho Ukanlos Osc.,Sangle Ukanlos smbre,Cint. Ukanlos Scuro,SchwarzUkanlosGürtel,
Dark Ukanlos Sash,Fajín Ukanlos Osc.,Ceint. Ukanlos smbre,Fascia Ukanlos Scuro,SchwrzUkanlosSchärpe,
Melahoa Skirt Z,Falda de Melahoa Z,Jupe Melahoa Z,Gonna Melahoa Z,Meloha-Rock Z,
Melahoa Trunk Z,Tronco Melahoa Z,Tronc Melahoa Z,Tronco Melahoa Z,Melohoa-Stamm Z,
Makluva Coil Z,Campana Makluva Z,Boucle Makluva Z,Campana Makluva Z,Makluva-WaffenrockZ,
Makluva Fin Z,Aleta Makluva Z,Aileron Makluva Z,Pinna Makluva Z,Makluva-Flosse Z,
Rathian Heart Coil Z,Braz. Cor. Rathian Z,Bcle cœur Rathian Z,Camp. CuoreRathianZ,Rathianherz-Lende Z,
Rathian Heart Coat Z,Cota Alma Rathian Z,Tail. cœur Rathian Z,Fianc.Cuore RathianZ,RathianherzWffnRockZ,
Rathalos Soul Coil Z,Campana Alma Rath. Z,Bcle âme Rathalos Z,Camp. AnimaRathalosZ,RathalosseelenLendeZ,
Rathalos Soul Coat Z,Cota Alma Rathalos Z,Tail. âme Rathalos Z,Fianc.AnimaRathalosZ,Rathalosseelen-RockZ,
Golden Moon Coil Z,Camp. Luna Dorada Z,Boucle Lune dorée Z,Camp. Luna Dorata Z,Goldmond-Lende Z,
Golden Moon Coat Z,Cota Luna Dorada Z,Taille Lune dorée Z,Fianc. Luna Dorata Z,Goldmond-WaffenrockZ,
Silver Sol Coil Z,Camp. Sol Plateado Z,Boucle Sol argenté Z,Camp. Sole Argen. Z,Silbersonnen-Lende Z,
Silver Sol Coat Z,Cota Sol Plateado Z,Taille Sol argenté Z,Fianc. Sole Argen. Z,SilbersonnenWfnRockZ,
Auroros Tasset Goku,Muslera Aurorus Goku,Tasset. Auroros Goku,Falda Auroros Goku,Auroros-BeinzeugGoku,
Genesis Tasset Goku,Muslera Gén. Goku,Tasset. Genesis Goku,Falda Genesis Goku,Genesis-BeinzeugGoku,
Borealis Tasset Goku,Muslera Auroros Bor.,Tass. Borealis Goku,Falda Borealis Goku,BorealisBeinzeugGoku,
Glyph Tasset Goku,Muslera Glyph Goku,Tasset. Glyphe Goku,Falda Glifo Goku,Glyph-Beinzeug Goku,
Fatalis Spine Z,Espinazo Fatalis Z,Dos de Fatalis Z,Spina di Fatalis Z,Fatalis-Rückgrat Z,
Fatalis Scale Z,Escama Fatalis Z,Écailles Fatalis Z,Squame di Fatalis Z,Fatalis-Schuppe Z,
WhiteFatalisSpineZ,Espin. Fatalis Bl. Z,Dos Fatalis blanc Z,SpinaFatalis Bian.Z,WeißesFatalisRckgrtZ,
WhiteFatalisScaleZ,Escam. Fatalis Bl. Z,Écail. Fatalis blc Z,SquamaFatalis Bian.Z,WeißeFatalisSchuppeZ,
Mafumofu Boots,Botas Mafumofu,Bottes Mafumofu,Stivali Mafumofu,Mafumofu-Stiefel,
Green Pants,Pantalones Verdes,Pantalon vert,Pantaloni Verdi,Grüne Hose,
Blue Pants,Pantalones Azules,Pantalon bleu,Pantaloni Blu,Blaue Hose,
Hunter's Greaves,Grebas de Cazador,Grèves de chasseur,Schin.Cacciatore,Jäger-Beinschienen,
Hunter's Leggings,Calzas de Cazador,Cuiss. de chasseur,Gamb. Cacciatore,Jäger-Gamaschen,
Bone Greaves,Grebas de Hueso ,Grèves d'os ,Schinieri Osso ,Knochen-Beinschiene,
Bone Leggings,Calzas de Hueso,Cuissardes d'os,Gambali d’Osso,Knochen-Gamaschen,
Giaprey Greaves,Grebas de Giaprey,Grèves Giaprey,Schinieri di Giaprey,Giaprey-Beinschienen,
Giaprey Leggings,Calzas de Giaprey,Cuissardes Giaprey,Gambali di Giaprey,Giaprey-Gamaschen,
Battle Greaves,Grebas de Combate,Grèves de combat,Schinieri Battaglia,Kampf-Beinschienen,
Battle Leggings,Calzas de Combate,Cuissardes de combat,Gambali Battaglia,Kampf-Gamaschen,
Silver Metal Boots,Botas Metal Plateado,Bottes argentées,Stiv. Metal. Argen.,Silber.Metallstiefel,
Dark Metal Boots,Botas Metal Oscuro,Bottes métal sombre,Stiv. Metallo Scuro,Schw. Metallstiefel,
Velociprey Greaves,Grebas de Velociprey,Grèves Velociprey,Schinieri Velociprey,Velociprey-Schienen,
Velociprey Leggings,Calzas de Velociprey,Cuiss. Velociprey,Gambali Velociprey,Velociprey-Gamaschen,
Vespoid Greaves,Grebas de Vespoid,Grèves Vespoid,Schinieri Vespoid,Vespoid-Beinschienen,
Vespoid Leggings,Calzas de Vespoid,Cuissardes Vespoid,Gambali Vespoid,Vespoid-Gamaschen,
Hi-Metal Greaves,Grebas de Megametal,Grèves haut-métal,Schinieri Hi-Metal,Hochmetall-Schienen,
Hi-Metal Leggings,Calzas de Megametal,Cuiss. haut-métal,Gambali Hi-Metal,Hochmetall-Gamaschen,
Hornet Greaves,Grebas de Hornet,Grèves Hornet,Schinieri Hornet,Hornissen-Schienen,
Hornet Leggings,Calzas de Hornet,Cuissardes Hornet,Gambali Hornet,Hornissen-Gamaschen,
Genprey Greaves,Grebas de Genprey,Grèves Genprey,Schinieri Genprey,Genprey-Beinschienen,
Genprey Leggings,Calzas de Genprey,Cuissardes Genprey,Gambali Genprey,Genprey-Gamaschen,
Chrome Metal Boots,Botas Metal Cromado,Bottes Chrome,Stivali Cromati,Chrom-Metallstiefel,
Ioprey Greaves,Grebas de Ioprey,Grèves Ioprey,Schinieri Ioprey,Ioprey-Beinschienen,
Ioprey Leggings,Calzas de Ioprey,Cuissardes Ioprey,Gambali Ioprey,Ioprey-Gamaschen,
Kut-Ku Greaves,Grebas de Kut-Ku,Grèves Kut-Ku,Schinieri di Kut-Ku,Kut-Ku-Beinschienen,
Kut-Ku Leggings,Calzas de Kut-Ku,Cuissardes Kut-Ku,Gambali di Kut-Ku,Kut-Ku-Gamaschen,
Cephalos Greaves,Grebas de Cephalos,Grèves Cephalos,Schinieri Cephalos,Cephalos-Schienen,
Cephalos Leggings,Calzas de Cephalos,Cuissardes Cephalos,Gambali Cephalos,Cephalos-Gamaschen,
Conga Greaves,Grebas de Conga,Grèves Conga,Schinieri di Conga,Conga-Beinschienen,
Conga Leggings,Calzas de Conga,Cuissardes Conga,Gambali di Conga,Conga-Gamaschen,
Gypceros Greaves,Grebas de Gypceros,Grèves Gypceros,Schinieri Gypceros,Gypceros-Schienen,
Gypceros Leggings,Calzas de Gypceros,Cuissardes Gypceros,Gambali Gypceros,Gypceros-Gamaschen,
Khezu Greaves,Grebas de Khezu,Grèves Khezu,Schinieri Khezu,Khezu-Beinschienen,
Khezu Leggings,Calzas de Khezu,Cuissardes Khezu,Gambali Khezu,Khezu-Gamaschen,
Hermitaur Greaves,Grebas de Hermitaur,Grèves Hermitaur,Schinieri Hermitaur,Hermitaur-Beinschn,
Hermitaur Leggings,Calzas de Hermitaur,Cuissardes Hermitaur,Gambali Hermitaur,Hermitaur-Gamaschen,
Plesioth Greaves,Grebas de Plesioth,Grèves Plesioth,Schinieri Plesioth,Plesioth-Schienen,
Plesioth Leggings,Calzas de Plesioth,Cuissardes Plesioth,Gambali Plesioth,Plesioth-Gamaschen,
Lobster Greaves,Grebas de Langosta,Grèves homard,Schinieri Aragosta,Hummer-Beinschienen,
Lobster Leggings,Calzas de Langosta,Cuissardes homard,Gambali Aragosta,Hummer-Gamaschen,
Kut-Ku Greaves D,Grebas de Kut-Ku D,Grèves Kut-Ku D,Schinieri Kut-Ku D,Kut-Ku-BeinschienenD,
Kut-Ku Leggings D,Calzas de Kut-Ku D,Cuissardes Kut-Ku D,Gambali di Kut-Ku D,Kut-Ku-Gamaschen D,
Gypceros Greaves D,Grebas de Gypceros D,Grèves Gypceros D,Schinieri Gypceros D,Gypceros-Schienen D,
Gypceros Leggings D,Calzas de Gypceros D,Cuiss. Gypceros D,Gambali Gypceros D,Gypceros-Gamaschen D,
Khezu Greaves D,Grebas de Khezu D,Grèves Khezu D,Schinieri Khezu D,Khezu-Beinschienen D,
Khezu Leggings D,Calzas de Khezu D,Cuissardes Khezu D,Gambali Khezu D,Khezu-Gamaschen D,
Plesioth Greaves D,Grebas Plesioth D,Grèves Plesioth D,Schinieri Plesioth D,Plesioth-Schienen D,
Plesioth Leggings D,Calzas Plesioth D,Cuiss. Plesioth D,Gambali Plesioth D,Plesioth-Gamaschen D,
Basarios Greaves,Grebas de Basarios,Grèves Basarios,Schinieri Basarios,Basarios-Beinschiene,
Basarios Leggings,Calzas de Basarios,Cuissardes Basarios,Gambali Basarios,Basarios-Gamaschen,
Monoblos Greaves,Grebas de Monoblos,Grèves Monoblos,Schinieri Monoblos,Monoblos-Beinschnen,
Monoblos Leggings,Calzas Monoblos,Cuissardes Monoblos,Gambali di Monoblos,Monoblos-Gamaschen,
Garuga Greaves,Grebas de Garuga,Grèves Garuga,Schinieri Garuga,Garuga-Beinschienen,
Garuga Leggings,Calzas de Garuga,Cuissardes Garuga,Gambali Garuga,Garuga-Stiefel,
Blango Greaves,Grebas de Blango,Grèves Blango,Schinieri di Blango,Blango-Beinschienen,
Blango Leggings,Calzas de Blango,Cuissardes Blango,Gambali di Blango,Blango-Gamaschen,
Ceanataur Greaves,Grebas de Cenataur,Grèves Ceanataur,Schinieri Ceanataur,Ceanataur-Beinschn,
Ceanataur Leggings,Calzas Ceanataur,Cuissardes Ceanat aur,Gambali di Ceanataur,Ceanataur-Gamaschen,
Rathian Greaves,Grebas de Rathian,Grèves Rathian,Schinieri Rathian,Rathian-Beinschienen,
Rathian Leggings,Calzas de Rathian,Cuissardes Rathian,Gambali Rathian,Rathian-Gamaschen,
Tigrex Greaves,Grebas de Tigrex,Grèves Tigrex,Schinieri di Tigrex,Tigrex-Beinschienen,
Tigrex Leggings,Calzas de Tigrex,Cuissardes Tigrex,Gambali di Tigrex,Tigrex-Gamaschen,
Rathalos Greaves,Grebas de Rathalos,Grèves Rathalos,Schinieri Rathalos,Rathalos-Schienen,
Rathalos Leggings,Calzas de Rathalos,Cuissardes Rathalos,Gambali Rathalos,Rathalos-Gamaschen,
Diablo Greaves,Grebas Diablos,Grèves Diablos,Schinieri di Diablos,Diablos-Beinschienen,
Diablo Leggings,Calzas de Diablos,Cuissardes Diablos,Gambali di Diablos,Diablos-Gamaschen,
Gravios Greaves,Grebas de Gravios,Grèves Gravios,Schinieri Gravios,Gravios-Beinschienen,
Gravios Leggings,Calzas de Gravios,Cuissardes Gravios,Gambali Gravios,Gravios-Gamaschen,
Diablo Greaves D,Grebas Diablos D,Grèves Diablos D,Schinieri Diablos D,DiablosBeinschienenD,
Diablo Leggings D,Calzas de Diablos D,Cuissardes Diablos D,Gambali di Diablos D,Diablos-Gamaschen D,
Gravios Greaves D,Grebas de Gravios D,Grèves Gravios D,Schinieri Gravios D,Gravios-Schienen D,
Gravios Leggings D,Calzas de Gravios D,Cuissardes Gravios D,Gambali Gravios D,Gravios-Gamaschen D,
Mosswine Feet,Pezuñas de Mosswine,Pi eds Mosswine,Zampa Mosswine,Mosswine-Füße,
Giaprey Feet,Pezuñas de Giaprey,Pieds Giaprey,Zampa di Giaprey,Giaprey-Füße,
Velociprey Feet,Pezuñas Velociprey,Pieds Velociprey,Zampa Velociprey,Velociprey-Füße,
(dummy)Famitsu Cloth Wrap,(dummy)Famitsu Cloth Wrap,(dummy)Famitsu Cloth Wrap,(dummy)Famitsu Cloth Wrap,(dummy)Famitsu Cloth Wrap,
(dummy)Famitsu Pants,(dummy)Famitsu Pants,(dummy)Famitsu Pants,(dummy)Famitsu Pants,(dummy)Famitsu Pants,
Genprey Feet,Pezuñas de Genprey,Pieds Genprey,Zampa Genprey,Genprey-Füße,
Black Belt Greaves,Grebas Cint. Negro,Grèves ceint. noire,Schin. Cintura Nera,Schwarzgurt-Schienen,
Shinobi Boots (Sun),Botas Shinobi (Sol),Bott. Shinobi Soleil,Stiv. Shinobi (Sole),ShinobiStiefel Sonne,
Shinobi Boots (Moon),Botas Shinobi (Luna),Bott. Shinobi Lune,Stiv. Shinobi (Luna),Shinobi-Stiefel Mond,
Guild Knight Boots,Botas Cab. Gremio,Bottes de la guilde,Stivali Cav. Gilda,Gildenritterstiefel,
Guild Knight Tights,Leotardos Cab. Grem.,Chauss. de la guilde,Calzam. Cav. Gilda,GildenritterStrmpfhs,
Guardian Boots,Botas de Guardián,Bottes du gardien,Stivali Guardiano,Wächter-Stiefel,
Guardian Pants,Pantalones Guardián,Pantalon du gardien,Pantaloni Guardiano,Wächter-Hose,
Maiden's Stockings,Medias de Doncella,Jupe de demoiselle,Calze da Donna,Magd-Strümpfe,
Personal Tights,Leotardos Personales,Chausses perso.,Calzam. Personale,Persönl. Strumpfhose,
Helper Socks,Calcetines Ayudante,Chaussettes aide,Calze Aiutante,Helfer-Socken,
Healer Socks,Calcet. de Sanador,Chaussettes Guériss.,Calze Guaritrice,Heiler-Socken,
Ioprey Feet,Pezuñas de Ioprey,Pieds Ioprey,Zampa Ioprey,Ioprey-Füße,
Remobra Feet,Pezuñas de Remobra,Pieds Remobra,Zampa di Remobra,Remobra-Füße,
Melahoa Roots,Raíces Melahoa,Racines Melahoa,Radici Melahoa,Melahoa-Wurzeln,
Melahoa Taproot,Tallo Melahoa,Pivot Melahoa,Fittone Melahoa,Melahoa-Pfahlwurzel,
Makluva Pants,Pantalones Makluva,Pantalon Makluva,Pantaloni Makluva,Makluva-Hose,
Makluva Leggings,Calzas de Makluva,Cuissardes Makluva,Gambali Makluva,Makluva-Gamaschen,
Hypno Greaves,Grebas Hypno,Grèves Hypno,Schinieri Hypno,Hypno-Schienen,
Hypno Leggings,Calzas Hypno,Cuissardes Hypno,Gambali di Hypno,Hypno-Gamaschen,
Obituary Gamba,Gamba de Obituario,Gamba nécrologie,Gamba Necrologio,Todes-Gamba,
Obituary Femur,Fémur de Obituario,Fémur nécrologie,Femore Necrologio,Todes-Femur,
Butterfly Gamba,Gamba de Mariposa,Gamba papillon,Gamba Farfalla,Schmetterling-Gamba,
Butterfly Femur,Fémur de Mariposa,Fémur papillon,Femore Farfalla,Schmetterling-Femur,
Black Feet,Pezuñas Negras,Pieds noirs,Piedi Neri,Schwarze Füße,
Black Legs,Patas Negras,Jambes noires,Gambe Nere,Schwarze Beine,
Death Stench Heel,Tacón Hedor Muerte,Talon odeur de mort,Tallone Puzza Morte,Todesgestank-Ferse,
Death Stench March,Marcha Hedor Muerte,Marche odeur de mort,Marcia Puzza Morte,Todesgestank-Marsch,
Lava Greaves,Grebas Lava,Grèves Lava X,Schinieri Lava X,Lava-Schienen,
Lava Leggings,Calzas Lava,Cuissardes Lava X,Gambali di Lava X,Lava-Gamaschen,
Mizuha Leg Wrap,Cinta Pierna Mizuha,Jambière Mizuha,Gambali Mizuha,Mizuha-Beinschutz,
Extravagant Trousers,Pantalones Extrava.,Culotte extravagante,Pantaloni Stravag.,Extravagante Hose,
Kushala Crus,Tibia Kushala,Mollet Kushala,Tibia di Kushala,Kushala-Crus,
Kushala Shank,Anca Kushala,Jarret Kushala,Stinco di Kushala,Kushala-Unterschnkl,
Kirin Leg Guards,Def. Piernas Kirin,Jambières Kirin,Paragambe Kirin,Kirin-Beinschutz,
Kirin Boots,Botas de Kirin,Bottes Kirin,Stivali Kirin,Kirin-Stiefel,
GuardianSpirit Boots,Botas de Matanza,Bottes Esprit Gard.,Stiv. Spir. Guard.,WächterseelenStiefel,
Carnage Boots,Pant. Espír. Guar.,Pantalon carnage,Stivali Strage,Gemetzelstiefel,
Auroros Pants,Pantalones Auroros,Pantalon Auroros,Pantaloni Auroros,Auroros-Hose,
Genesis Pants,Pantalones Génesis,Pantalon Genesis,Pantaloni Genesis,Genesis-Hose,
Borealis Pants,Pantalones Boreal,Pantalon Borealis,Pantaloni Borealis,Borealis-Hose,
Glyph Pants,Pantalones Glyph,Pantalon Glyphe,Pantaloni Glifo,Glyph-Hose,
Red Borealis Pants,Pant. Boreal Rojo,Pant. Borealis rouge,Pant. Borealis Rossi,Rote Borealis-Hose,
Red Glyph Pants,Pant. Glyph Rojo,Pant. Glyphe rouge,Pant. Glifo Rossi,Rote Glyph-Hose,
Empress Greaves,Grebas de Emperatriz,Grèves Impératrice,Schinieri Imperatr.,Kaiserin-Beinschn,
Empress Leggings,Calzas de Emperatriz,Cuiss. Impératrice,Gambali Imperatrice,Kaiserin-Gamaschen,
Indra Leggings,Calzas de Indra,Cuissardes Indra,Gambali Indra,Indra-Gamaschen,
Steadfast Boots,Botas Firmes,Bottes inébranlables,Stivali Solidi,Standfeste Stiefel,
Kaiser Greaves,Grebas de Kaiser,Grèves Kaiser,Schinieri del Kaiser,Kaiser-Beinschienen,
Kaiser Leggings,Calzas de Kaiser,Cuissardes Kaiser,Gambali del Kaiser,Kaiser-Gamaschen,
(dummy)Red Lobster Greaves,(dummy)Red Lobster Greaves,(dummy)Red Lobster Greaves,(dummy)Red Lobster Greaves,(dummy)Red Lobster Greaves,
(dummy)RedLobster Leggings,(dummy)RedLobster Leggings,(dummy)RedLobster Leggings,(dummy)RedLobster Leggings,(dummy)RedLobster Leggings,
Monodevil Greaves,Grebas Monodevil,Grèves Monodevil,Schinieri Monodevil,Monodevil-Beinschn,
Monodevil Leggings,Calzas de Monodevil,Cuissardes Monodevil,Gambali Monodevil,Monodevil-Gamaschen,
Rathian HeartGreaves,Greb. Cor. Rathian U,Grèves cœur Rathian,Sch. Cuore Rathian,Rathianherz-Schienen,
RathianHeartLeggings,Calz. Cor. Rathian U,Cuiss. cœur Rathian,Gamb. Cuore Rathian,RathianherzGamaschen,
Rathalos SoulGreaves,Greb. Alma RathalosU,Grèves âme Rathalos,Sch. Anima Rathalos,Rathalosseel-Schien,
RathalosSoulLeggings,Calz. Alma RathalosU,Cuiss. âme Rathalos,Gamb. Anima Rathalos,Rathalosseel-Gamasch,
Mafumofu Boots S,Botas Mafumofu S,Bottes Mafumofu S,Stivali Mafumofu S,Mafumofu-Stiefel S,
Green Pants S,Pantalones Verdes S,Pantalon vert S,Pantaloni Verdi S,Grüne Hose S,
Blue Pants S,Pantalones Azules S,Pantalon bleu S,Pantaloni Blu S,Blaue Hose S,
Hunter's Greaves S,Grebas de Cazador S,Grèves de chasseur S,Schinieri Cacciat. S,Jäger-Beinschienen S,
Hunter's Leggings S,Calzas de Cazador S,Cuiss. de chasseur S,Gambali Cacciat. S,Jäger-Gamaschen S,
Bone Greaves S,Grebas de Hueso S,Grèves d'os S,Schinieri Osso S,Knochen-BeinschieneS,
Bone Leggings S,Calzas de Hueso S,Cuissardes d'os S,Gambali Osso S,Knochen-Gamaschen S,
Battle Greaves S,Grebas de Combate S,Grèves de combat S,Schinieri Batt. S,Kampf-Beinschienen S,
Battle Leggings S,Calzas de Combate S,Cuiss. de combat S,Gambali Batt. S,Kampf-Gamaschen S,
Velociprey Greaves S,Grebas Velociprey S,Grèves Velociprey S,Schin. Velociprey S,Velociprey-SchienenS,
Velociprey LeggingsS,Calzas Velociprey S,Cuiss. Velociprey S,Gambali Velociprey S,Velociprey-GamascheS,
Vespoid Greaves S,Grebas de Vespoid S,Grèves Vespoid S,Schinieri Vespoid S,Vespoid-Schienen S,
Vespoid Leggings S,Calzas de Vespoid S,Cuiss. Vespoid S,Gambali Vespoid S,Vespoid-Gamaschen S,
Hi-Metal Greaves S,Grebas Megametal S,Grèves haut-métal S,Schinieri Hi-Metal S,Hochmetall-SchienenS,
Hi-Metal Leggings S,Calzas Megametal S,Cuiss. haut-métal S,Gambali Hi-Metal S,Hochmetall-GamascheS,
Hornet Greaves S,Grebas de Hornet. S,Grèves Hornet S,Schinieri Hornet S,Hornissen-Schienen S,
Hornet Leggings S,Calzas de Hornet. S,Cuissardes Hornet S,Gambali Hornet S,Hornissen-GamaschenS,
Genprey Greaves S,Grebas de Genprey S,Grèves Genprey S,Schinieri Genprey S,GenpreyBeinschienenS,
Genprey Leggings S,Calzas de Genprey S,Cuiss. Genprey S,Gambali Genprey S,Genprey-Gamaschen S,
Ioprey Greaves S,Grebas de Ioprey S,Grèves Ioprey S,Schinieri Ioprey S,Ioprey-BeinschienenS,
Ioprey Leggings S,Calzas de Ioprey S,Cuissardes Ioprey S,Gambali Ioprey S,Ioprey-Gamaschen S,
Kut-Ku Greaves S,Grebas de Kut-Ku S,Grèves Kut-Ku S,Schinieri Kut-Ku S,Kut-Ku-BeinschienenS,
Kut-Ku Leggings S,Calzas de Kut-Ku S,Cuissardes Kut-Ku S,Gambali di Kut-Ku S,Kut-Ku-Gamaschen S,
Cephalos Greaves S,Grebas de Cephalos S,Grèves Cephalos S,Schinieri Cephalos S,Cephalos-Schienen S,
Cephalos Leggings S,Calzas de Cephalos S,Cuiss. Cephalos S,Gambali Cephalos S,Cephalos-Gamaschen S,
Conga Greaves S,Grebas de Conga S,Grèves Conga S,Schinieri di Conga S,Conga-Beinschienen S,
Conga Leggings S,Calzas de Conga S,Cuissardes Conga S,Gambali di Conga S,Conga-Gamaschen S,
Gypceros Greaves S,Grebas de Gypceros S,Grèves Gypceros S,Schinieri Gypceros S,Gypceros-Schienen S,
Gypceros Leggings S,Calzas de Gypceros S,Cuiss. Gypceros S,Gambali Gypceros S,Gypceros-Gamaschen S,
Khezu Greaves S,Grebas de Khezu S,Grèves Khezu S,Schinieri Khezu S,Khezu-Beinschienen S,
Khezu Leggings S,Calzas de Khezu S,Cuissardes Khezu S,Gambali Khezu S,Khezu-Gamaschen S,
Hermitaur Greaves S,Grebas Hermitaur S,Grèves Hermitaur S,Schin. Hermitaur S,Hermitaur-Beinschn S,
